epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.146,1.80776,5.13452,1.25675,0,0,0,0,1.44252,5.07252,1.09284,3.332e-05,3.332e-05,3.332e-05
2,34.5055,1.44435,5.00765,1.10715,0,0,0,0,1.42848,5.02234,1.04224,7.06931e-05,7.06931e-05,7.06931e-05
3,51.1296,1.35581,4.72088,1.05586,0,0,0,0,1.34996,4.95057,0.98411,0.000107312,0.000107312,0.000107312
4,67.2812,1.24289,4.46166,0.99211,0,0,0,0,1.13563,4.84269,0.92105,0.000143177,0.000143177,0.000143177
5,83.2667,1.20658,4.1475,0.95906,0.05625,0.01628,0.03625,0.0339,1.11782,4.73768,0.9157,0.000178289,0.000178289,0.000178289
6,99.3645,1.18427,3.8187,0.96464,0.04969,0.07799,0.07694,0.06524,1.14667,4.55343,0.95493,0.000212646,0.000212646,0.000212646
7,115.141,1.18448,3.68463,0.94514,0.94162,0.04448,0.07914,0.0613,1.12624,4.3531,0.96642,0.000246249,0.000246249,0.000246249
8,130.585,1.12986,3.40264,0.93744,0.03644,0.27766,0.11424,0.08906,1.09315,4.21324,0.95661,0.000279098,0.000279098,0.000279098
9,147.282,1.12238,3.16447,0.94874,0.35403,0.2486,0.21801,0.15466,1.11544,3.8645,0.94569,0.000311194,0.000311194,0.000311194
10,164.644,1.10332,2.9933,0.93678,0.83489,0.10747,0.25665,0.17961,1.16735,3.63742,0.96712,0.000342535,0.000342535,0.000342535
11,180.931,1.16126,2.86156,0.9536,0.82209,0.12341,0.25265,0.18933,1.13551,3.34238,0.96906,0.000373122,0.000373122,0.000373122
12,197.702,1.12607,2.70938,0.94232,0.74851,0.22235,0.24342,0.19097,1.18239,3.05433,0.9818,0.000402955,0.000402955,0.000402955
13,213.732,1.19573,2.68156,0.95546,0.67969,0.29725,0.28609,0.2235,1.11024,2.80185,0.98309,0.000419451,0.000419451,0.000419451
