epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,229.525,1.10785,2.50115,0.90995,0.70385,0.23786,0.29659,0.22929,1.17876,2.67281,1.04487,0.000414739,0.000414739,0.000414739
15,244.952,1.07183,2.37311,0.93056,0.54287,0.32449,0.30386,0.23607,1.13749,2.50403,1.03164,0.000410026,0.000410026,0.000410026
16,262.245,1.07159,2.3096,0.89749,0.71095,0.2958,0.32577,0.26226,1.16172,2.48218,1.03668,0.000405314,0.000405314,0.000405314
17,280.312,1.1056,2.3213,0.91771,0.80105,0.28314,0.36157,0.29163,1.15524,2.45327,1.03135,0.000400602,0.000400602,0.000400602
18,298.966,1.0637,2.21289,0.93701,0.8094,0.29723,0.40498,0.33003,1.15301,2.46361,1.03053,0.000395889,0.000395889,0.000395889
19,317.828,1.03874,2.20644,0.89742,0.69026,0.40274,0.41363,0.3207,1.15683,2.30169,1.00823,0.000391177,0.000391177,0.000391177
20,337.806,0.98365,2.0001,0.88719,0.65406,0.42963,0.42956,0.33411,1.09255,2.22129,0.98827,0.000386464,0.000386464,0.000386464
21,357.95,0.98189,1.93617,0.87941,0.62421,0.4874,0.4642,0.36267,1.00727,2.07456,0.95929,0.000381752,0.000381752,0.000381752
22,377.782,0.96137,1.91468,0.9093,0.65392,0.43621,0.47596,0.36891,1.01988,2.02957,0.96177,0.00037704,0.00037704,0.00037704
23,397.724,0.95389,1.83953,0.88968,0.60431,0.5227,0.51062,0.40926,0.99418,2.01373,0.9626,0.000372327,0.000372327,0.000372327
24,417.124,0.90877,1.72807,0.88349,0.5817,0.5169,0.5229,0.41887,0.99423,1.9985,0.96671,0.000367615,0.000367615,0.000367615
25,435.015,0.90921,1.73828,0.88579,0.6224,0.48279,0.52904,0.4383,0.93277,1.96305,0.94106,0.000362902,0.000362902,0.000362902
26,454.466,0.97233,1.8272,0.89559,0.66179,0.48065,0.54453,0.44179,0.90174,1.86537,0.92642,0.00035819,0.00035819,0.00035819
27,473.869,0.9207,1.72671,0.87718,0.67643,0.4802,0.55267,0.44694,0.91878,1.85622,0.92672,0.000353478,0.000353478,0.000353478
28,493.34,0.88314,1.65843,0.86533,0.62026,0.48708,0.54751,0.45836,0.89606,1.81256,0.91294,0.000348765,0.000348765,0.000348765
29,511.919,0.91294,1.66258,0.86432,0.63039,0.50033,0.55137,0.45588,0.88592,1.82206,0.90692,0.000344053,0.000344053,0.000344053
30,530.774,0.86026,1.64643,0.88874,0.63301,0.51932,0.56103,0.46007,0.86165,1.81619,0.9096,0.00033934,0.00033934,0.00033934
31,548.478,0.91684,1.60669,0.88692,0.61954,0.52401,0.55777,0.45977,0.8105,1.83325,0.9027,0.000334628,0.000334628,0.000334628
32,567.122,0.86096,1.50834,0.87362,0.62469,0.52637,0.56247,0.46413,0.79581,1.82345,0.90145,0.000329916,0.000329916,0.000329916
33,585.709,0.88204,1.49533,0.89294,0.63088,0.52465,0.57523,0.47232,0.82789,1.78311,0.90616,0.000325203,0.000325203,0.000325203
34,603.418,0.84119,1.45685,0.88278,0.63928,0.50603,0.58288,0.48194,0.8907,1.7463,0.93103,0.000320491,0.000320491,0.000320491
35,620.747,0.84858,1.50124,0.89233,0.67179,0.57643,0.58608,0.49779,0.83973,1.71571,0.91127,0.000315778,0.000315778,0.000315778
36,639.707,0.83161,1.5703,0.8904,0.75583,0.59559,0.59546,0.49658,0.8147,1.70038,0.89842,0.000311066,0.000311066,0.000311066
37,658.752,0.82281,1.42241,0.87511,0.74901,0.57958,0.60977,0.50641,0.80574,1.66659,0.89306,0.000306354,0.000306354,0.000306354
38,678.392,0.7751,1.40542,0.87396,0.69307,0.62119,0.63249,0.52521,0.79102,1.63377,0.89377,0.000301641,0.000301641,0.000301641
39,698.202,0.84101,1.41887,0.8558,0.72224,0.64688,0.6375,0.52563,0.77353,1.58764,0.89274,0.000296929,0.000296929,0.000296929
40,718.017,0.8538,1.34073,0.87561,0.7364,0.63971,0.68097,0.58087,0.74947,1.54129,0.8858,0.000292216,0.000292216,0.000292216
41,738.018,0.79498,1.35405,0.88524,0.75494,0.64228,0.69065,0.5832,0.74011,1.51771,0.87794,0.000287504,0.000287504,0.000287504
42,758.675,0.7485,1.25809,0.84694,0.74245,0.67159,0.69872,0.57663,0.75027,1.49075,0.86938,0.000282792,0.000282792,0.000282792
43,778.123,0.81541,1.31777,0.87057,0.78657,0.67604,0.70493,0.57898,0.75881,1.49738,0.86525,0.000278079,0.000278079,0.000278079
44,796.654,0.77057,1.28492,0.8647,0.81709,0.65571,0.70786,0.59291,0.74339,1.50167,0.86572,0.000273367,0.000273367,0.000273367
45,813.315,0.80753,1.33922,0.89335,0.81123,0.67029,0.7182,0.60791,0.73275,1.48872,0.86703,0.000268654,0.000268654,0.000268654
46,833.029,0.80466,1.37338,0.88462,0.81718,0.66953,0.72484,0.61436,0.75475,1.49705,0.86643,0.000263942,0.000263942,0.000263942
47,850.712,0.79466,1.24382,0.88218,0.79693,0.66663,0.71535,0.6101,0.76044,1.49002,0.87075,0.00025923,0.00025923,0.00025923
48,867.236,0.75121,1.2077,0.86589,0.79612,0.65291,0.71464,0.61244,0.73929,1.48108,0.86796,0.000254517,0.000254517,0.000254517
49,884.693,0.75852,1.19527,0.85765,0.78007,0.65906,0.71769,0.62658,0.70328,1.49506,0.86536,0.000249805,0.000249805,0.000249805
50,902.687,0.86453,1.25234,0.89381,0.83046,0.64288,0.72564,0.62865,0.68497,1.47051,0.85882,0.000245092,0.000245092,0.000245092
51,919.068,0.81108,1.19898,0.87797,0.8283,0.66592,0.72551,0.61828,0.69913,1.44406,0.85833,0.00024038,0.00024038,0.00024038
52,936.503,0.75786,1.13517,0.85729,0.80735,0.68081,0.72957,0.6227,0.69907,1.39426,0.85487,0.000235668,0.000235668,0.000235668
53,954.503,0.78638,1.08651,0.85238,0.87666,0.65467,0.72643,0.62515,0.6907,1.33097,0.85099,0.000230955,0.000230955,0.000230955
54,972.986,0.71581,1.10916,0.85225,0.89209,0.65702,0.72903,0.6222,0.69572,1.33252,0.84935,0.000226243,0.000226243,0.000226243
55,991.534,0.7932,1.13643,0.84771,0.89705,0.64777,0.73336,0.61839,0.69571,1.33017,0.84928,0.00022153,0.00022153,0.00022153
56,1010.7,0.70024,1.08362,0.84289,0.88527,0.66057,0.73075,0.61854,0.6777,1.31356,0.84595,0.000216818,0.000216818,0.000216818
57,1029.42,0.7662,1.15967,0.88265,0.88384,0.66552,0.72502,0.61476,0.68102,1.30343,0.84772,0.000212106,0.000212106,0.000212106
58,1049.33,0.7742,1.1533,0.8659,0.83357,0.68768,0.72418,0.61252,0.67984,1.30055,0.85396,0.000207393,0.000207393,0.000207393
59,1067.24,0.75729,1.12327,0.87637,0.8428,0.68879,0.72575,0.6165,0.67788,1.3241,0.85933,0.000202681,0.000202681,0.000202681
60,1084.61,0.74576,1.03578,0.85031,0.83608,0.69381,0.7235,0.60995,0.69686,1.33772,0.86282,0.000197968,0.000197968,0.000197968
61,1102.61,0.72996,1.08298,0.85671,0.85118,0.6765,0.7262,0.62424,0.69781,1.35375,0.86699,0.000193256,0.000193256,0.000193256
62,1122.23,0.76563,1.07389,0.86328,0.82988,0.67828,0.7291,0.63013,0.69167,1.35583,0.86875,0.000188544,0.000188544,0.000188544
63,1139.47,0.70736,1.01472,0.85357,0.9035,0.65661,0.72925,0.63138,0.6956,1.32889,0.86875,0.000183831,0.000183831,0.000183831
64,1157.57,0.71559,1.03026,0.84128,0.92097,0.64599,0.7317,0.63828,0.68911,1.31922,0.86638,0.000179119,0.000179119,0.000179119
65,1174.71,0.70491,1.05003,0.8576,0.92621,0.64401,0.73467,0.6422,0.69155,1.32514,0.86918,0.000174406,0.000174406,0.000174406
66,1192.28,0.65424,0.954,0.83289,0.92327,0.64485,0.73698,0.64522,0.69486,1.31,0.86952,0.000169694,0.000169694,0.000169694
67,1209.05,0.67663,0.96667,0.84823,0.80153,0.71082,0.73786,0.6434,0.69799,1.29783,0.86766,0.000164982,0.000164982,0.000164982
68,1227.58,0.70261,1.00509,0.83627,0.81344,0.70889,0.73892,0.63165,0.6902,1.29919,0.86243,0.000160269,0.000160269,0.000160269
69,1247.02,0.70064,0.96733,0.84991,0.81729,0.71109,0.73925,0.62552,0.67922,1.27583,0.85893,0.000155557,0.000155557,0.000155557
70,1265.75,0.70481,1.00544,0.84882,0.82026,0.70392,0.74072,0.63067,0.65971,1.22767,0.85083,0.000150844,0.000150844,0.000150844
71,1283.99,0.71027,1.00263,0.86204,0.81578,0.71837,0.74363,0.63607,0.65344,1.22463,0.84819,0.000146132,0.000146132,0.000146132
72,1301.74,0.68878,0.94282,0.86283,0.81234,0.72067,0.7469,0.63634,0.64763,1.20814,0.84569,0.00014142,0.00014142,0.00014142
73,1319.43,0.67224,0.89782,0.86325,0.82042,0.71779,0.74945,0.64367,0.63833,1.18818,0.84311,0.000136707,0.000136707,0.000136707
74,1337.22,0.69875,0.96255,0.83966,0.84219,0.72306,0.75885,0.64954,0.63204,1.18057,0.84094,0.000131995,0.000131995,0.000131995
75,1355.2,0.69231,0.96012,0.83876,0.85001,0.72547,0.76195,0.65063,0.63121,1.17376,0.83951,0.000127282,0.000127282,0.000127282
76,1374.39,0.71542,0.95603,0.86588,0.84937,0.71856,0.76196,0.63988,0.64858,1.17046,0.84064,0.00012257,0.00012257,0.00012257
77,1391.4,0.65404,0.89871,0.83745,0.8539,0.72696,0.76186,0.63811,0.65937,1.17121,0.84457,0.000117858,0.000117858,0.000117858
78,1409.33,0.71663,0.9697,0.83036,0.83758,0.73051,0.7646,0.64602,0.64921,1.17724,0.84678,0.000113145,0.000113145,0.000113145
79,1426.95,0.66403,0.90013,0.84865,0.83297,0.72893,0.75931,0.64902,0.64582,1.18501,0.85379,0.000108433,0.000108433,0.000108433
80,1444.1,0.68657,0.93974,0.83188,0.84009,0.72891,0.75757,0.6493,0.64456,1.19493,0.85753,0.00010372,0.00010372,0.00010372
81,1461.44,0.64164,0.86194,0.83619,0.8427,0.72259,0.75492,0.64974,0.64479,1.18452,0.85739,9.9008e-05,9.9008e-05,9.9008e-05
82,1478.86,0.63579,0.86815,0.83141,0.85519,0.71271,0.75561,0.65162,0.64334,1.17731,0.85787,9.42956e-05,9.42956e-05,9.42956e-05
83,1496.42,0.67697,0.92751,0.86024,0.86896,0.69535,0.75314,0.65206,0.63508,1.17088,0.8564,8.95832e-05,8.95832e-05,8.95832e-05
84,1518,0.64807,0.86486,0.84638,0.8945,0.68701,0.75537,0.6523,0.62305,1.1573,0.85156,8.48708e-05,8.48708e-05,8.48708e-05
85,1540.53,0.64193,0.90446,0.82946,0.90388,0.68209,0.75277,0.65199,0.61395,1.13044,0.84744,8.01584e-05,8.01584e-05,8.01584e-05
86,1559.67,0.63637,0.89178,0.83436,0.90563,0.66725,0.75082,0.64401,0.61222,1.12105,0.84752,7.5446e-05,7.5446e-05,7.5446e-05
87,1575.85,0.66175,0.89388,0.83671,0.91267,0.66344,0.75076,0.64512,0.60993,1.1174,0.84643,7.07336e-05,7.07336e-05,7.07336e-05
88,1592.75,0.6548,0.86631,0.83902,0.84951,0.69412,0.75236,0.65203,0.614,1.11701,0.84642,6.60212e-05,6.60212e-05,6.60212e-05
89,1611,0.67702,0.96249,0.85427,0.85025,0.69021,0.75237,0.65129,0.6183,1.11657,0.84772,6.13088e-05,6.13088e-05,6.13088e-05
90,1632.09,0.7092,0.94175,0.84277,0.8549,0.68786,0.75291,0.6536,0.62099,1.12425,0.85018,5.65964e-05,5.65964e-05,5.65964e-05
91,1655.22,0.60183,0.93642,0.82317,0.86495,0.68147,0.75361,0.65491,0.61886,1.13159,0.849,5.1884e-05,5.1884e-05,5.1884e-05
92,1676.52,0.71819,1.15064,0.83133,0.89932,0.6667,0.76143,0.65865,0.61969,1.17048,0.84941,4.71716e-05,4.71716e-05,4.71716e-05
93,1695.87,0.61213,0.9202,0.8278,0.90063,0.66499,0.7617,0.65909,0.62033,1.17762,0.84721,4.24592e-05,4.24592e-05,4.24592e-05
94,1713.45,0.6514,0.98277,0.84516,0.89188,0.66792,0.76165,0.65479,0.62154,1.18918,0.84618,3.77468e-05,3.77468e-05,3.77468e-05
95,1735.68,0.63158,0.93912,0.84607,0.89036,0.66994,0.76099,0.64907,0.62889,1.20332,0.85006,3.30344e-05,3.30344e-05,3.30344e-05
96,1754.95,0.61404,0.96555,0.83829,0.89446,0.67152,0.75894,0.64452,0.635,1.21825,0.85127,2.8322e-05,2.8322e-05,2.8322e-05
97,1771.71,0.58027,0.92592,0.83213,0.80991,0.73273,0.75846,0.64418,0.6342,1.21707,0.85161,2.36096e-05,2.36096e-05,2.36096e-05
98,1789.01,0.63973,0.94702,0.83946,0.80887,0.7337,0.75848,0.64286,0.637,1.21138,0.85264,1.88972e-05,1.88972e-05,1.88972e-05
99,1804.75,0.65647,1.01766,0.8299,0.90076,0.66995,0.75702,0.64388,0.63719,1.21386,0.85289,1.41848e-05,1.41848e-05,1.41848e-05
100,1820.84,0.56669,0.91118,0.81733,0.8974,0.6697,0.75759,0.64536,0.63962,1.20869,0.85254,9.4724e-06,9.4724e-06,9.4724e-06
