epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.72004,1.85796,5.10463,1.23806,0,0,0,0,1.56287,5.08568,1.15046,1.5e-05,1.5e-05,1.5e-05
2,20.4474,1.67276,4.96794,1.17932,0,0,0,0,1.46563,4.97883,1.0795,3.46535e-05,3.46535e-05,3.46535e-05
3,28.9703,1.45975,4.88086,1.10916,0,0,0,0,1.43799,4.93989,1.04698,5.3911e-05,5.3911e-05,5.3911e-05
4,36.9712,1.41088,4.75961,1.08504,0,0,0,0,1.45966,4.9241,1.03198,7.27725e-05,7.27725e-05,7.27725e-05
5,45.1141,1.45082,4.7035,1.01863,0,0,0,0,1.31956,4.86333,0.97029,9.1238e-05,9.1238e-05,9.1238e-05
6,53.0255,1.32662,4.48914,0.99419,0,0,0,0,1.20731,4.8467,0.9428,0.000109308,0.000109308,0.000109308
7,61.2692,1.19849,4.3804,0.94581,0,0,0,0,1.10514,4.77987,0.9265,0.000126981,0.000126981,0.000126981
8,69.5705,1.33061,4.21464,0.97054,0,0,0,0,1.08617,4.74205,0.92117,0.000144259,0.000144259,0.000144259
9,77.8177,1.17344,3.99097,0.94426,0,0,0,0,1.04087,4.67878,0.90577,0.00016114,0.00016114,0.00016114
10,86.1303,1.08582,3.80036,0.95613,0.10714,0.02579,0.06859,0.06173,1.00709,4.61282,0.90791,0.000177626,0.000177626,0.000177626
11,93.9506,1.1802,3.74183,0.94299,0.07347,0.08192,0.08898,0.07594,1.02436,4.53895,0.90831,0.000193715,0.000193715,0.000193715
12,101.688,1.15176,3.63213,0.94219,0.03935,0.08192,0.07898,0.06816,1.05699,4.43806,0.92276,0.000209408,0.000209408,0.000209408
13,109.16,1.10826,3.4009,0.91939,0.02681,0.13634,0.09312,0.0782,1.09808,4.33751,0.94745,0.000224706,0.000224706,0.000224706
14,117.103,1.10932,3.29842,0.89835,0.92428,0.05663,0.09884,0.07536,1.1373,4.26838,0.93961,0.000239607,0.000239607,0.000239607
15,124.471,1.09423,3.23983,0.90539,0.92978,0.05763,0.1138,0.08487,1.11882,4.14978,0.93234,0.000254113,0.000254113,0.000254113
16,132.402,0.98152,3.03568,0.88261,0.92978,0.05763,0.1138,0.08487,1.11882,4.14978,0.93234,0.000268223,0.000268223,0.000268223
17,139.928,1.12308,3.11321,0.91506,0.83158,0.0792,0.13674,0.1036,1.06512,3.95429,0.93906,0.000281936,0.000281936,0.000281936
18,147.701,1.14573,3.17048,0.89558,0.85097,0.11831,0.15669,0.12151,1.08825,3.81089,0.97056,0.000295253,0.000295253,0.000295253
19,155.305,1.18048,3.07111,0.90798,0.85097,0.11831,0.15669,0.12151,1.08825,3.81089,0.97056,0.000308175,0.000308175,0.000308175
20,163.109,0.97576,2.80602,0.89775,0.86587,0.15283,0.16693,0.13376,1.0594,3.63853,0.97,0.000320701,0.000320701,0.000320701
21,170.77,1.05775,2.80563,0.88861,0.85988,0.16517,0.20047,0.16203,0.98304,3.40161,0.94444,0.00033283,0.00033283,0.00033283
