epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,178.536,1.06037,2.787,0.89452,0.85988,0.16517,0.20047,0.16203,0.98304,3.40161,0.94444,0.000344564,0.000344564,0.000344564
23,186.249,1.0826,2.77633,0.90177,0.8851,0.18002,0.23237,0.17924,0.98777,3.18479,0.92229,0.000355901,0.000355901,0.000355901
24,194.007,1.05496,2.60551,0.8878,0.8851,0.18002,0.23237,0.17924,0.98777,3.18479,0.92229,0.000366843,0.000366843,0.000366843
25,202.028,0.96241,2.51092,0.87261,0.86826,0.17084,0.25388,0.19859,1.03196,3.0005,0.93228,0.000377388,0.000377388,0.000377388
26,210.193,1.07624,2.58785,0.91428,0.86826,0.17084,0.25388,0.19859,1.03196,3.0005,0.93228,0.00037625,0.00037625,0.00037625
27,217.858,0.98309,2.47642,0.89668,0.83533,0.19402,0.29924,0.24141,1.01725,2.8759,0.93226,0.0003713,0.0003713,0.0003713
28,225.568,1.0912,2.46954,0.89565,0.83533,0.19402,0.29924,0.24141,1.01725,2.8759,0.93226,0.00036635,0.00036635,0.00036635
29,233.393,0.98838,2.30443,0.89021,0.90317,0.18375,0.33986,0.28618,1.0222,2.76068,0.92876,0.0003614,0.0003614,0.0003614
30,241.446,0.93908,2.55565,0.89173,0.90317,0.18375,0.33986,0.28618,1.0222,2.76068,0.92876,0.00035645,0.00035645,0.00035645
31,248.971,0.9253,2.19505,0.88457,0.89713,0.20771,0.34013,0.28896,1.01798,2.6703,0.93838,0.0003515,0.0003515,0.0003515
32,256.195,0.98709,2.33873,0.88985,0.89713,0.20771,0.34013,0.28896,1.01798,2.6703,0.93838,0.00034655,0.00034655,0.00034655
33,264.581,0.95077,2.22945,0.85432,0.83084,0.23261,0.3425,0.29308,1.03178,2.59321,0.94968,0.0003416,0.0003416,0.0003416
34,272.223,0.93555,2.06934,0.8687,0.83084,0.23261,0.3425,0.29308,1.03178,2.59321,0.94968,0.00033665,0.00033665,0.00033665
35,279.75,1.02122,2.38683,0.88943,0.70292,0.24793,0.36015,0.29327,1.03513,2.57355,0.92619,0.0003317,0.0003317,0.0003317
36,287.592,0.98763,2.15658,0.87966,0.70292,0.24793,0.36015,0.29327,1.03513,2.57355,0.92619,0.00032675,0.00032675,0.00032675
37,295.697,1.03299,2.29328,0.87918,0.84551,0.22838,0.38041,0.30479,1.03516,2.46659,0.90963,0.0003218,0.0003218,0.0003218
38,303.422,0.9958,2.05199,0.87479,0.84551,0.22838,0.38041,0.30479,1.03516,2.46659,0.90963,0.00031685,0.00031685,0.00031685
39,310.997,0.91641,1.87828,0.8523,0.49534,0.40439,0.41062,0.33374,0.97931,2.30807,0.90643,0.0003119,0.0003119,0.0003119
40,318.508,0.96371,2.06206,0.85926,0.49534,0.40439,0.41062,0.33374,0.97931,2.30807,0.90643,0.00030695,0.00030695,0.00030695
41,326.63,0.92335,1.93219,0.85563,0.52493,0.38464,0.43827,0.36249,0.92703,2.22222,0.90887,0.000302,0.000302,0.000302
42,334.215,0.95773,1.97868,0.86338,0.52493,0.38464,0.43827,0.36249,0.92703,2.22222,0.90887,0.00029705,0.00029705,0.00029705
43,341.796,1.014,2.12385,0.88912,0.57316,0.45491,0.45702,0.37707,0.89305,2.17019,0.90451,0.0002921,0.0002921,0.0002921
44,349.732,0.88691,1.94468,0.86401,0.57316,0.45491,0.45702,0.37707,0.89305,2.17019,0.90451,0.00028715,0.00028715,0.00028715
45,358.121,0.9568,1.88946,0.85578,0.7414,0.42627,0.4609,0.38723,0.90002,2.15443,0.90363,0.0002822,0.0002822,0.0002822
46,365.88,0.97898,1.92795,0.86368,0.7414,0.42627,0.4609,0.38723,0.90002,2.15443,0.90363,0.00027725,0.00027725,0.00027725
47,373.162,0.89152,1.7567,0.85891,0.81613,0.42703,0.49356,0.41205,0.91652,2.13039,0.89608,0.0002723,0.0002723,0.0002723
48,380.463,0.87037,1.77536,0.8514,0.81613,0.42703,0.49356,0.41205,0.91652,2.13039,0.89608,0.00026735,0.00026735,0.00026735
49,387.619,0.94143,1.94969,0.85983,0.82721,0.42785,0.50111,0.4106,0.88587,2.10452,0.88277,0.0002624,0.0002624,0.0002624
50,394.757,0.86812,1.6764,0.88653,0.82721,0.42785,0.50111,0.4106,0.88587,2.10452,0.88277,0.00025745,0.00025745,0.00025745
51,402.078,0.86746,1.77977,0.84792,0.77145,0.44988,0.5134,0.40545,0.89561,2.05534,0.88133,0.0002525,0.0002525,0.0002525
52,409.145,0.79198,1.57616,0.83604,0.77145,0.44988,0.5134,0.40545,0.89561,2.05534,0.88133,0.00024755,0.00024755,0.00024755
53,416.524,0.94633,1.69201,0.8679,0.80441,0.44285,0.5228,0.41992,0.89071,2.01806,0.87697,0.0002426,0.0002426,0.0002426
54,423.906,0.92063,1.5798,0.86076,0.80441,0.44285,0.5228,0.41992,0.89071,2.01806,0.87697,0.00023765,0.00023765,0.00023765
55,431.411,0.79966,1.55724,0.83198,0.78093,0.43931,0.52289,0.42114,0.88561,1.98037,0.87957,0.0002327,0.0002327,0.0002327
56,438.617,0.81413,1.49176,0.82921,0.78093,0.43931,0.52289,0.42114,0.88561,1.98037,0.87957,0.00022775,0.00022775,0.00022775
57,446.117,0.80297,1.5397,0.85202,0.79879,0.44265,0.52614,0.43827,0.8714,1.93096,0.88336,0.0002228,0.0002228,0.0002228
58,453.25,0.87988,1.59883,0.85695,0.79879,0.44265,0.52614,0.43827,0.8714,1.93096,0.88336,0.00021785,0.00021785,0.00021785
59,460.666,0.91792,1.57974,0.8624,0.80268,0.44408,0.53229,0.45324,0.85615,1.89462,0.88707,0.0002129,0.0002129,0.0002129
60,467.909,0.82799,1.56476,0.86411,0.80268,0.44408,0.53229,0.45324,0.85615,1.89462,0.88707,0.00020795,0.00020795,0.00020795
61,475.525,0.82311,1.57144,0.85276,0.80754,0.44356,0.53356,0.45195,0.84929,1.85673,0.88348,0.000203,0.000203,0.000203
62,483.148,0.8806,1.62465,0.84001,0.80754,0.44356,0.53356,0.45195,0.84929,1.85673,0.88348,0.00019805,0.00019805,0.00019805
63,490.467,0.84358,1.52897,0.85917,0.82008,0.45336,0.53944,0.45357,0.83137,1.84168,0.88583,0.0001931,0.0001931,0.0001931
64,497.587,0.8761,1.59586,0.85935,0.82008,0.45336,0.53944,0.45357,0.83137,1.84168,0.88583,0.00018815,0.00018815,0.00018815
65,505.466,0.76463,1.45712,0.83924,0.79981,0.47926,0.54782,0.45693,0.82821,1.84007,0.8819,0.0001832,0.0001832,0.0001832
66,513.098,0.8689,1.56043,0.8621,0.79981,0.47926,0.54782,0.45693,0.82821,1.84007,0.8819,0.00017825,0.00017825,0.00017825
67,520.551,0.76576,1.44126,0.8392,0.79494,0.49877,0.54364,0.451,0.82949,1.81592,0.88399,0.0001733,0.0001733,0.0001733
68,528.278,0.8433,1.6379,0.86748,0.79494,0.49877,0.54364,0.451,0.82949,1.81592,0.88399,0.00016835,0.00016835,0.00016835
69,536.269,0.84003,1.5384,0.84354,0.80204,0.49611,0.54967,0.45795,0.82274,1.79351,0.87729,0.0001634,0.0001634,0.0001634
70,544.069,0.76473,1.44389,0.83669,0.80204,0.49611,0.54967,0.45795,0.82274,1.79351,0.87729,0.00015845,0.00015845,0.00015845
71,551.782,0.73614,1.4058,0.84075,0.80599,0.48783,0.55314,0.46304,0.80847,1.78876,0.87795,0.0001535,0.0001535,0.0001535
72,559.668,0.79757,1.42192,0.83951,0.80599,0.48783,0.55314,0.46304,0.80847,1.78876,0.87795,0.00014855,0.00014855,0.00014855
73,567.95,0.7527,1.47679,0.84513,0.88636,0.46545,0.55449,0.46801,0.78933,1.77184,0.87102,0.0001436,0.0001436,0.0001436
74,576.018,0.78376,1.41721,0.8457,0.88636,0.46545,0.55449,0.46801,0.78933,1.77184,0.87102,0.00013865,0.00013865,0.00013865
75,584.124,0.78042,1.46936,0.84341,0.89474,0.46441,0.57545,0.48866,0.77075,1.7437,0.86195,0.0001337,0.0001337,0.0001337
76,592.612,0.78342,1.31834,0.86565,0.89474,0.46441,0.57545,0.48866,0.77075,1.7437,0.86195,0.00012875,0.00012875,0.00012875
77,600.841,0.80784,1.47146,0.84304,0.89794,0.48212,0.58429,0.49632,0.75554,1.70239,0.8577,0.0001238,0.0001238,0.0001238
78,608.504,0.73468,1.31748,0.85425,0.89794,0.48212,0.58429,0.49632,0.75554,1.70239,0.8577,0.00011885,0.00011885,0.00011885
79,617.37,0.8014,1.40271,0.83516,0.91821,0.46705,0.58921,0.50473,0.75244,1.67976,0.85784,0.0001139,0.0001139,0.0001139
80,625.463,0.75172,1.48265,0.84324,0.91821,0.46705,0.58921,0.50473,0.75244,1.67976,0.85784,0.00010895,0.00010895,0.00010895
81,633.781,0.71218,1.32941,0.8365,0.66733,0.58608,0.60879,0.52054,0.75432,1.65899,0.85754,0.000104,0.000104,0.000104
82,641.649,0.75279,1.35106,0.8322,0.66733,0.58608,0.60879,0.52054,0.75432,1.65899,0.85754,9.905e-05,9.905e-05,9.905e-05
83,649.508,0.7251,1.32638,0.84436,0.66671,0.57928,0.62166,0.53065,0.75437,1.63762,0.861,9.41e-05,9.41e-05,9.41e-05
84,657.472,0.73027,1.29016,0.84205,0.66671,0.57928,0.62166,0.53065,0.75437,1.63762,0.861,8.915e-05,8.915e-05,8.915e-05
85,665.621,0.74567,1.28847,0.84227,0.94673,0.46929,0.6514,0.55865,0.74636,1.61985,0.86181,8.42e-05,8.42e-05,8.42e-05
86,673.818,0.75903,1.35444,0.84279,0.94673,0.46929,0.6514,0.55865,0.74636,1.61985,0.86181,7.925e-05,7.925e-05,7.925e-05
87,681.659,0.78537,1.26065,0.83042,0.68711,0.5707,0.66259,0.56976,0.73742,1.59935,0.86164,7.43e-05,7.43e-05,7.43e-05
88,689.573,0.77484,1.25061,0.81882,0.68711,0.5707,0.66259,0.56976,0.73742,1.59935,0.86164,6.935e-05,6.935e-05,6.935e-05
89,697.284,0.7674,1.31605,0.82477,0.65998,0.58914,0.66447,0.56919,0.72778,1.57864,0.85751,6.44e-05,6.44e-05,6.44e-05
90,705.24,0.81442,1.36103,0.86023,0.65998,0.58914,0.66447,0.56919,0.72778,1.57864,0.85751,5.945e-05,5.945e-05,5.945e-05
91,713.169,0.77151,1.43903,0.84444,0.92977,0.47879,0.66505,0.56934,0.73022,1.57879,0.86471,5.45e-05,5.45e-05,5.45e-05
92,720.681,0.70063,1.32967,0.83914,0.92977,0.47879,0.66505,0.56934,0.73022,1.57879,0.86471,4.955e-05,4.955e-05,4.955e-05
93,728.1,0.67757,1.34818,0.847,0.92389,0.48855,0.66751,0.56554,0.73479,1.56345,0.87054,4.46e-05,4.46e-05,4.46e-05
94,735.543,0.6802,1.32449,0.851,0.92389,0.48855,0.66751,0.56554,0.73479,1.56345,0.87054,3.965e-05,3.965e-05,3.965e-05
95,743.124,0.67199,1.25449,0.81638,0.92218,0.48756,0.66647,0.55979,0.71061,1.53864,0.85264,3.47e-05,3.47e-05,3.47e-05
96,750.584,0.70593,1.46784,0.81449,0.92218,0.48756,0.66647,0.55979,0.71061,1.53864,0.85264,2.975e-05,2.975e-05,2.975e-05
97,758.249,0.71123,1.3537,0.81824,0.91806,0.49258,0.66311,0.55521,0.72348,1.5487,0.85365,2.48e-05,2.48e-05,2.48e-05
98,765.65,0.66949,1.27506,0.82797,0.91806,0.49258,0.66311,0.55521,0.72348,1.5487,0.85365,1.985e-05,1.985e-05,1.985e-05
99,773.234,0.67243,1.32273,0.8196,0.94145,0.49396,0.66671,0.55323,0.73678,1.56704,0.85915,1.49e-05,1.49e-05,1.49e-05
100,781.188,0.67369,1.33873,0.82755,0.94145,0.49396,0.66671,0.55323,0.73678,1.56704,0.85915,9.95e-06,9.95e-06,9.95e-06
